f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
6.48E+00,0.00E+00,1.67E+01,3.26E+00,3.81E+00,2.07E-04,1.45E-02,0.00E+00,2.83E+00,4.35E+00,1.03E+00,1.03E+00
6.50E+00,0.00E+00,1.27E+01,1.52E+00,3.05E+00,6.10E+00,3.73E+00,0.00E+00,2.17E+00,5.23E+00,0.00E+00,6.98E-02
3.46E+00,0.00E+00,1.47E+01,4.17E-01,2.53E-02,6.28E+00,5.64E+00,1.99E+00,3.70E+00,3.57E+00,7.32E-01,5.54E-01
6.89E+00,0.00E+00,1.58E+01,7.00E+00,3.42E+00,5.99E+00,5.96E+00,3.22E+00,4.67E+00,7.45E+00,3.46E+00,4.76E+00
3.61E+00,3.39E+00,6.59E+00,1.27E+00,7.68E+00,5.60E+00,6.94E+00,4.61E+00,1.68E+00,6.98E+00,7.82E+00,1.10E+00
4.58E+00,3.40E+00,5.72E+00,1.42E+00,8.45E+00,3.70E+00,5.34E+00,2.60E+00,1.42E+00,4.94E+00,7.21E+00,0.00E+00
5.13E+00,2.01E+00,7.36E+00,1.06E+00,5.70E+00,5.89E+00,8.92E+00,2.28E+00,3.51E-01,6.34E+00,6.51E+00,1.47E+00
4.99E+00,1.71E+00,7.71E+00,8.13E-01,5.73E+00,5.97E+00,7.86E+00,2.23E+00,0.00E+00,5.65E+00,6.15E+00,9.00E-01
3.44E-01,7.71E+00,3.39E-02,0.00E+00,4.08E+00,5.55E+00,7.89E+00,3.77E+00,2.88E+00,2.24E+00,9.96E+00,2.05E+00
8.24E-01,6.41E+00,2.01E+00,3.46E-01,3.80E+00,6.02E+00,8.07E+00,3.75E+00,3.63E+00,2.62E+00,7.92E+00,2.28E+00
9.92E-01,4.53E+00,4.08E+00,0.00E+00,4.94E+00,6.67E+00,6.80E+00,2.61E+00,2.31E+00,4.12E+00,7.39E+00,1.54E+00
0.00E+00,4.79E+00,1.12E+00,0.00E+00,2.90E+00,7.00E+00,9.26E+00,2.48E+00,2.91E+00,1.53E+00,7.78E+00,2.07E+00
0.00E+00,4.79E+00,1.12E+00,0.00E+00,2.90E+00,7.00E+00,9.26E+00,2.48E+00,2.91E+00,1.53E+00,7.78E+00,2.07E+00
1.99E+00,5.02E+00,3.42E+00,1.99E+00,4.45E+00,5.37E+00,5.87E+00,3.03E+00,2.92E+00,1.71E+00,8.72E+00,3.02E+00
0.00E+00,1.59E+00,3.38E+00,0.00E+00,1.18E+00,6.47E+00,7.95E+00,4.16E+00,3.35E+00,0.00E+00,4.81E+00,9.80E-01
1.62E+00,5.79E+00,6.99E-02,0.00E+00,1.08E+00,8.25E+00,8.26E+00,4.49E+00,3.27E+00,1.02E+00,8.24E+00,2.52E+00
5.76E+00,4.68E+00,6.11E+00,5.56E+00,5.83E+00,4.82E+00,8.77E+00,3.31E+00,4.21E+00,5.36E+00,6.89E+00,4.41E+00
4.81E+00,3.35E+00,5.46E+00,3.33E+00,5.42E+00,6.46E+00,8.07E+00,4.70E-03,3.03E+00,4.13E+00,5.05E+00,1.68E+00
4.79E+00,4.54E+00,4.35E+00,3.52E+00,4.98E+00,6.95E+00,8.47E+00,1.84E+00,4.10E+00,4.21E+00,5.42E+00,2.38E+00
5.69E+00,5.33E+00,5.07E+00,5.08E+00,5.81E+00,6.67E+00,8.07E+00,1.11E+00,4.16E+00,4.79E+00,6.28E+00,2.98E+00
3.82E+00,5.11E+00,5.39E+00,5.39E+00,5.53E+00,4.53E+00,6.74E+00,1.53E+00,4.81E+00,2.69E+00,7.22E+00,2.95E+00
5.13E+00,4.31E+00,6.81E+00,4.50E+00,4.88E+00,7.36E+00,9.55E+00,2.20E+00,3.01E+00,4.93E+00,6.49E+00,3.75E+00
5.57E+00,3.02E+00,7.71E+00,3.69E+00,5.51E+00,7.86E+00,9.46E+00,1.33E+00,2.22E+00,5.95E+00,5.98E+00,2.68E+00
4.68E+00,2.78E+00,6.77E+00,3.00E+00,5.00E+00,7.21E+00,9.28E+00,6.47E-01,1.83E+00,4.32E+00,5.87E+00,2.12E+00
5.99E+00,4.92E+00,8.23E+00,7.49E+00,1.10E+01,3.59E+00,6.72E+00,1.70E+00,5.11E+00,8.65E+00,3.20E+00,1.53E+00
8.29E+00,4.99E+00,1.06E+01,7.99E+00,9.69E+00,5.15E+00,5.39E+00,0.00E+00,4.39E+00,1.00E+01,2.00E+00,1.61E+00
9.72E+00,6.09E+00,9.58E+00,8.82E+00,9.36E+00,5.83E+00,8.10E+00,7.23E-01,2.32E+00,1.07E+01,3.71E+00,4.92E+00
7.40E+00,7.05E+00,8.41E+00,7.95E+00,9.31E+00,6.07E+00,7.91E+00,3.69E+00,3.91E+00,1.01E+01,4.95E+00,4.80E+00
3.86E+00,3.57E+00,1.06E+01,3.96E+00,6.32E+00,3.38E+00,7.06E+00,6.38E+00,5.56E+00,8.92E+00,6.29E+00,3.76E+00
3.29E+00,4.27E+00,1.43E+01,6.41E+00,6.34E-01,2.39E-02,5.20E+00,6.81E+00,9.51E+00,4.11E+00,8.33E+00,5.72E+00
5.13E-02,0.00E+00,1.21E+01,0.00E+00,3.41E+00,1.40E+00,4.33E+00,6.47E+00,9.17E+00,3.48E+00,3.36E+00,0.00E+00
3.30E+00,6.17E+00,9.21E+00,5.95E+00,7.15E+00,5.32E-01,4.25E+00,6.37E+00,7.23E+00,5.51E+00,8.92E+00,3.71E+00
7.13E+00,4.96E-01,9.10E+00,4.19E+00,6.84E+00,5.47E+00,2.62E+00,2.86E+00,2.33E+00,5.18E+00,3.68E+00,1.03E+00
5.14E+00,2.45E+00,8.97E+00,5.03E+00,7.02E+00,3.61E+00,1.82E+00,3.09E+00,2.17E+00,3.42E+00,6.64E+00,1.80E+00
6.18E+00,1.35E+00,7.60E+00,2.94E+00,6.57E+00,4.56E+00,1.37E+00,2.96E+00,2.08E+00,3.79E+00,5.50E+00,6.04E-01
7.09E+00,1.88E+00,9.51E+00,4.20E+00,8.35E+00,5.70E+00,2.19E+00,2.64E+00,1.71E+00,6.62E+00,5.33E+00,1.08E+00
7.28E+00,7.51E+00,6.96E+00,8.57E+00,7.09E+00,3.21E+00,1.10E+00,3.57E+00,8.48E+00,4.10E+00,4.90E+00,2.52E+00
8.77E+00,8.03E+00,9.11E+00,1.06E+01,8.06E+00,3.14E+00,2.01E+00,3.32E+00,6.93E+00,5.93E+00,4.35E+00,4.49E+00
4.99E+00,6.34E+00,7.92E+00,6.48E+00,8.00E+00,3.55E+00,3.25E+00,3.60E+00,6.17E+00,5.47E+00,6.50E+00,1.91E+00
7.40E+00,6.67E+00,7.27E+00,7.57E+00,8.74E+00,2.74E+00,4.40E+00,2.66E+00,5.46E+00,6.62E+00,6.53E+00,3.29E+00
4.68E+00,2.75E+00,1.08E+01,5.07E+00,1.25E+01,8.00E-03,3.13E+00,3.50E+00,2.56E+00,8.81E+00,9.44E+00,1.75E+00
6.10E+00,3.48E+00,8.75E+00,5.60E+00,1.03E+01,1.16E+00,2.61E+00,2.41E+00,2.34E+00,5.90E+00,8.88E+00,2.76E+00
6.85E+00,0.00E+00,7.40E+00,3.39E+00,5.30E+00,0.00E+00,2.70E+00,1.76E+00,1.38E+00,1.78E-02,6.29E+00,1.36E+00
5.73E+00,5.58E+00,8.88E+00,8.28E+00,1.39E+01,2.89E-01,2.69E-01,2.16E+00,2.24E+00,5.79E+00,9.50E+00,2.69E+00
